Security,Name,Sector,INDUSTRY,Year,Quarter,Index,Closing Stock Price,SP Volatility,MC RAW,Log MCap,PB RAW,Book to Mkt,ROA,Total Assets,Asset Growth,ESGCombinedScore,EnvironmentPillarScore,GovernancePillarScore,SocialPillarScore,ESG Momentum,ESG Mom-Env,ESG Mom - Gov,ESG Mom - Social
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2023,Q1,2023-Q1,7.81,0.622755971,1298478080,20.98445871,1.039852023,0.961675294,16.08125305,2216.957952,0.009281318,0.38751429,0.271321826,0.527787962,0.404416314,-0.022841996,-0.013977347,-0.036185668,-0.022650115
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2023,Q2,2023-Q2,8.65,0.798268961,1453393536,21.09716703,0.838735998,1.192270277,16.36845398,2219.920896,0.001336491,0.38751429,0.271321826,0.527787962,0.404416314,-0.022841996,-0.013977347,-0.036185668,-0.022650115
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2023,Q3,2023-Q3,9.27,0.784814203,1553945728,21.16406316,0.944427013,1.058843072,8.497563362,2231.756032,0.005331332,0.38751429,0.271321826,0.527787962,0.404416314,-0.022841996,-0.013977347,-0.036185668,-0.022650115
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2023,Q4,2023-Q4,8.53,0.38064638,1409015808,21.06615729,0.992832005,1.007219746,7.791147232,2283.718912,0.023283405,0.38751429,0.271321826,0.527787962,0.404416314,-0.022841996,-0.013977347,-0.036185668,-0.022650115
AC CN Equity,Air Canada,Industrials,Manufacturing,2015,Q1,2015-Q1,12.39,1.783692331,3550374656,21.99031897,222.0927734,0.004502623,0.994135022,10648.00051,0.009767668,0.441133412,0.360706118,0.691120792,0.613211371,-0.032241978,0.014706225,0.072447912,0.143357491
AC CN Equity,Air Canada,Industrials,Manufacturing,2015,Q2,2015-Q2,13.21,0.917364886,3789085440,22.05539052,222.0927734,0.004502623,1.225342035,11580.99968,0.087622006,0.441133412,0.360706118,0.691120792,0.613211371,-0.032241978,0.014706225,0.072447912,0.143357491
AC CN Equity,Air Canada,Industrials,Manufacturing,2015,Q3,2015-Q3,10.73,0.869655104,3065968384,21.84362931,222.0927734,0.004502623,1.790706038,12373.99962,0.068474221,0.441133412,0.360706118,0.691120792,0.613211371,-0.032241978,0.014706225,0.072447912,0.143357491
AC CN Equity,Air Canada,Industrials,Manufacturing,2015,Q4,2015-Q4,10.21,2.237483706,2894456832,21.78606331,222.0927734,0.004502623,2.738197088,12755.00032,0.030790425,0.441133412,0.360706118,0.691120792,0.613211371,-0.032241978,0.014706225,0.072447912,0.143357491
AC CN Equity,Air Canada,Industrials,Manufacturing,2016,Q1,2016-Q1,8.96,2.407668305,2523493376,21.64891004,222.0927734,0.004502623,2.548896074,13127.00006,0.029165013,0.5512753,0.333585859,0.736035296,0.588428922,0.110141888,-0.027120259,0.044914504,-0.024782449
AC CN Equity,Air Canada,Industrials,Manufacturing,2016,Q2,2016-Q2,8.89,2.772344074,2458871808,21.62296847,222.0927734,0.004502623,5.692872047,13502.99955,0.028643215,0.5512753,0.333585859,0.736035296,0.588428922,0.110141888,-0.027120259,0.044914504,-0.024782449
AC CN Equity,Air Canada,Industrials,Manufacturing,2016,Q3,2016-Q3,10.6,5.900956843,2927563520,21.79743635,17.96073341,0.055677014,4.495967865,14538.99981,0.076723713,0.5512753,0.333585859,0.736035296,0.588428922,0.110141888,-0.027120259,0.044914504,-0.024782449
AC CN Equity,Air Canada,Industrials,Manufacturing,2016,Q4,2016-Q4,13.67,6.220768977,3735870720,22.04124675,3.063838005,0.326388013,6.795869827,14849.99987,0.021390747,0.5512753,0.333585859,0.736035296,0.588428922,0.110141888,-0.027120259,0.044914504,-0.024782449
AC CN Equity,Air Canada,Industrials,Manufacturing,2017,Q1,2017-Q1,13.8,4.473293902,3760470784,22.04781,4.072865009,0.245527411,6.203745842,15114.00038,0.017777812,0.615983813,0.449643494,0.795846395,0.618097467,0.064708513,0.116057635,0.059811099,0.029668545
AC CN Equity,Air Canada,Industrials,Manufacturing,2017,Q2,2017-Q2,17.38,2.549673182,4717142016,22.27446895,3.943682909,0.253570082,5.189497948,15864.00051,0.049622873,0.615983813,0.449643494,0.795846395,0.618097467,0.064708513,0.116057635,0.059811099,0.029668545
AC CN Equity,Air Canada,Industrials,Manufacturing,2017,Q3,2017-Q3,26.24,2.838268251,7189917696,22.69594556,2.344522953,0.426526001,5.686443806,16657.99987,0.050050387,0.615983813,0.449643494,0.795846395,0.618097467,0.064708513,0.116057635,0.059811099,0.029668545
AC CN Equity,Air Canada,Industrials,Manufacturing,2017,Q4,2017-Q4,25.88,2.843290347,7066720768,22.67866239,2.065232038,0.484207092,11.41582203,17421.0007,0.045803868,0.615983813,0.449643494,0.795846395,0.618097467,0.064708513,0.116057635,0.059811099,0.029668545
AC CN Equity,Air Canada,Industrials,Manufacturing,2018,Q1,2018-Q1,26.77,4.524308419,7310460416,22.71257209,2.76154995,0.362115485,12.33584595,17781.99962,0.020722054,0.406694817,0.508912982,0.838993197,0.619091781,-0.209288996,0.059269488,0.043146802,0.000994315
AC CN Equity,Air Canada,Industrials,Manufacturing,2018,Q2,2018-Q2,21.25,6.148411719,5788850176,22.47919952,1.48180604,0.674852156,9.785557747,21721.99936,0.221572367,0.406694817,0.508912982,0.838993197,0.619091781,-0.209288996,0.059269488,0.043146802,0.000994315
AC CN Equity,Air Canada,Industrials,Manufacturing,2018,Q3,2018-Q3,27.6,7.71620967,7527800320,22.74186871,1.919124961,0.521070811,7.751052856,20137.00096,-0.072967427,0.406694817,0.508912982,0.838993197,0.619091781,-0.209288996,0.059269488,0.043146802,0.000994315
AC CN Equity,Air Canada,Industrials,Manufacturing,2018,Q4,2018-Q4,25.96,6.836868191,7027732480,22.67312994,2.144690037,0.466267844,2.02748394,22530.0009,0.118835965,0.406694817,0.508912982,0.838993197,0.619091781,-0.209288996,0.059269488,0.043146802,0.000994315
AC CN Equity,Air Canada,Industrials,Manufacturing,2019,Q1,2019-Q1,32.21,14.48753947,8722577408,22.88918061,2.637346983,0.379168917,0.186562002,21883.00083,-0.028717268,0.490964242,0.538674637,0.868336792,0.66234647,0.084269425,0.029761655,0.029343595,0.043254689
AC CN Equity,Air Canada,Industrials,Manufacturing,2019,Q2,2019-Q2,39.69,17.18143475,10641859584,23.08806108,3.145122051,0.317952685,2.390048027,27231.00058,0.244390602,0.490964242,0.538674637,0.868336792,0.66234647,0.084269425,0.029761655,0.029343595,0.043254689
AC CN Equity,Air Canada,Industrials,Manufacturing,2019,Q3,2019-Q3,43.21,16.20039814,11526511616,23.16791558,2.843935013,0.351625475,4.309894085,27659.99923,0.015754054,0.490964242,0.538674637,0.868336792,0.66234647,0.084269425,0.029761655,0.029343595,0.043254689
AC CN Equity,Air Canada,Industrials,Manufacturing,2019,Q4,2019-Q4,48.51,3.370341229,12846358528,23.27632623,2.908577919,0.343810628,3.853919029,27497.00096,-0.005892924,0.490964242,0.538674637,0.868336792,0.66234647,0.084269425,0.029761655,0.029343595,0.043254689
AC CN Equity,Air Canada,Industrials,Manufacturing,2020,Q1,2020-Q1,15.75,4.924956853,4117028352,22.13839747,0.96449101,1.0368163,5.946577072,27758.99955,0.009528261,0.61702698,0.55796162,0.868665689,0.606851486,0.126062738,0.019286982,0.000328896,-0.055494985
